Date	Start	End	Tentative Hours Worked	Effective Hours worked	Notes		
Monday, December 29, 2014	12:00:00 PM	11:00:00 PM	11:00	1			
Tuesday, December 30, 2014	12:00:00 PM	11:00:00 PM	11:00	2			
Wednesday, December 31, 2014	06:00:00 PM	11:30:00 PM	05:30	2			
Thursday, January 01, 2015	02:00:00 PM	06:00:00 PM	04:00	2			
Friday, January 02, 2015	02:00:00 PM	01:30:00 AM	11:30	3			
Saturday, January 03, 2015	12:00:00 PM	12:00:00 AM	12:00	3	Worked on clang reflection		
Sunday, January 04, 2015	01:00:00 PM	02:00:00 AM	13:00	5	Worked on clang reflection		
Monday, January 05, 2015	12:00:00 PM	12:00:00 AM	12:00	2	Musing on unity vs custom engine, game design paper prototype		
Tuesday, January 06, 2015	12:00:00 PM	12:00:00 AM	12:00	0	Lack of sleep,tired		
Wednesday, January 07, 2015	02:00:00 PM	12:00:00 AM	10:00	5	"Network refactoring; Found a good paradigm for network programming!;
Also some work in reflection refactoring (for compile times)"	Use lambdas to respond to network messages	
Thursday, January 08, 2015	02:00:00 PM	12:00:00 AM	10:00	4	"Reflection refactoring (members only);
Halfway on refactoring xml serialization;
Compile times reduced by estimated fifth"		
Friday, January 09, 2015	01:00:00 PM	12:00:00 AM	11:00	4	"xml serialization;
Working on xml deserialization"		
Saturday, January 10, 2015	12:00:00 PM	12:00:00 AM	12:00	2	"xml deserialization; very small gains in compile times and executable sizes
Learnt that we need 0.8mb per objdesc!"		
Sunday, January 11, 2015				0	break day		
Monday, January 12, 2015	12:00:00 PM	12:00:00 AM	12:00	4	"Reduced compile time by ~2s and library size by about 60%;
learnt that careless inclusion of stl can bloat ~100kb per ob"		
Tuesday, January 13, 2015	01:00:00 PM	12:00:00 AM	11:00	4	have to rework how reflection is done due to linker problems		
Wednesday, January 14, 2015	12:00:00 PM	12:00:00 AM	12:00	4	Reflection 80% reworked		
Thursday, January 15, 2015	11:00:00 AM	12:00:00 AM	13:00	4	"Reflection reworked. Putting back some de/serializer stuff. 
30% of day spent on building"		
Friday, January 16, 2015	12:00:00 PM	01:00:00 AM	13:00	4	Putting broken stuff back in, migration to msvc2013, added crc32		
Saturday, January 17, 2015	12:00:00 PM	12:00:00 AM	12:00	2	Graphics debugger now working		
Sunday, January 18, 2015				0	break day		
Monday, January 19, 2015	12:00:00 PM	12:00:00 AM	12:00	4	Assimp initial integration; data written correctly but not tested. BEWARE PROCASTINATION!		
Tuesday, January 20, 2015	12:00:00 PM	12:00:00 AM	12:00	3	Assimp tested with static models, texturing		
Wednesday, January 21, 2015	12:00:00 PM	12:00:00 AM	12:00	3	Assimp node hierarchy rendering 80%. BEWARE PROCASTINATION!		
Thursday, January 22, 2015	12:00:00 AM	12:00:00 AM	00:00	4	Nodes done. Now doing bones. Write skinning shader, Bone animation next day?		
Friday, January 23, 2015	12:00:00 AM	12:00:00 AM	00:00	4	Write skinning shader done. Bugfixes. Bone animation next day		
Saturday, January 24, 2015	11:00:00 AM	01:00:00 AM	14:00	4	Animation data imported, animation has bugs		
Sunday, January 25, 2015	11:00:00 AM	05:00:00 PM	06:00	2	Bugfix with quaternions, animation has weight related bugs		
Monday, January 26, 2015	11:00:00 AM	12:00:00 AM	13:00	4	Skeletal animation basics finished! Now to optimize data structures		
